title,cpf,name,hasVoted
242799346891,52122845894,Beatriz Pereira,0
571524343234,95815110701,Maria Sophia Alves,0
615193056550,61544857185,Maria Clara Cardoso,0
153903066638,42218353843,Milena Novaes,0
234583026684,14315558318,Enzo Gabriel Dias,0
397225778842,11273678828,Thiago da Rocha,0
725291154898,95293840142,Miguel Farias,0
831533526315,24551121756,Caio Pereira,0
279039713343,67307728951,Augusto Dias,0
422927675236,57649263443,Maria Clara Rodrigues,0
154140512051,56502716727,Antônio Lima,0
152258965131,68625545667,Emanuella Lima,0
238611511827,13836225275,Yuri Fernandes,0
515612454203,74210435228,Caroline Fernandes,0
444644254611,42434444238,Murilo Moura,0
840486218126,36873891083,Nicole Nascimento,0
776551208867,25935839169,Nicolas Moura,0
462236612367,21542674432,Ana Lívia Costela,0
914871465673,38288495844,Vitor Hugo Porto,0
547777804061,42105659266,Marcos Vinicius Cunha,0
565942747753,54441661723,Maria Clara Aragão,0
560927752193,58774708827,Esther das Neves,0
383842421459,57724525560,João Guilherme Teixeira,0
183417225421,4478162766,Alícia Souza,0
770274994354,29313615370,Pedro Lucas da Rocha,0
478137789285,49764061411,Stephany Gonçalves,0
522838861885,19894359573,Matheus Lopes,0
554018493145,7543923383,Arthur Martins,0
829479251570,82011718346,Vitor Gabriel Rezende,0
178049007274,17869736408,Beatriz Correia,0
404267392859,86787402923,Lívia Ribeiro,0
182575563783,55371833506,Davi Lucca Rocha,0
260468294431,36610416302,Vitor Costela,0
137823577052,55285689138,Nicole Sales,0
474547801342,61216423861,Maria da Rocha,0
84364138602,41945851395,Gustavo Rezende,0
113262618657,30557966324,Bianca da Rocha,0
548211239736,84788935176,Davi Pires,0
192145361142,74147518836,Julia Gonçalves,0
436581486116,36776859702,Ana Lívia Mendes,0
811483342209,38227000529,Natália Vieira,0
283277257684,74728108680,Giovanna da Costa,0
839382721210,57758421774,João Felipe Pereira,0
720187266698,14016827583,Maria Clara Viana,0
827818233827,64988248863,Kevin da Cunha,0
118273672139,77773250532,Yago Rezende,0
524244015505,50347818164,Julia Gomes,0
74380414871,64744115462,Yago da Mata,0
922544106095,85621464141,Amanda Gomes,0
472951564835,74268235088,Ana Carolina da Mota,0
4871070233,27138077397,Davi Lucas Cavalcanti,0
519261661536,17616342107,Fernando Ramos,0
489258518433,13816820065,Bruno da Rocha,0
590411965615,42552410798,Paulo Silveira,0
83857658019,66319323574,Bruna Ramos,0
628154690673,47713913655,Maria Cecília Oliveira,0
514134742573,74133917288,Samuel da Cunha,0
857386534855,51644307208,Daniel Barbosa,0
539557768364,86731632754,Maria Luiza Melo,0
524656818243,44161461583,Beatriz Nascimento,0
104602826551,13958371281,Heitor Azevedo,0
434177074182,60271286745,Vitor Hugo Nogueira,0
786535482416,4649141567,Levi Fogaça,0
471227554345,58196264621,Luana Ferreira,0
694953591228,88272356663,Helena Gonçalves,0
138124367836,26557246558,Mariana da Costa,0
744281244280,72141231387,Alexia das Neves,0
253824661337,39576493821,Davi Luiz Dias,0
225030146420,42971339348,Lucca Nascimento,0
62947561965,86421340784,Ana Carolina Ramos,0
971444738640,42802835121,Kevin Costela,0
754155566531,15607004239,Alexandre Ferreira,0
889437902663,32733526784,Danilo Jesus,0
418377019572,10533487022,Sarah Mendes,0
801115771409,64886374231,Maysa Farias,0
594984796974,32730516067,Maitê Araújo,0
529379268216,87840028926,João Pedro da Rocha,0
570313726667,44876229075,Gustavo Araújo,0
100392295952,64777164828,Anthony Campos,0
618710848406,71351979185,Maria Sophia Castro,0
217336577186,91219609588,Kamilly da Mata,0
277828378117,65811516447,Brenda Ramos,0
813533672264,44338627427,Clara Cardoso,0
451825273218,57763546904,Ana Vitória Caldeira,0
773337756428,41638332843,Catarina Monteiro,0
787645716409,17744300838,Gabrielly Moraes,0
387629956367,35663674729,Kaique Ferreira,0
957512636038,13452843452,Vitor Hugo Pires,0
748523606678,59378831166,João Miguel Duarte,0
651346374897,31225445577,Felipe das Neves,0
203780330586,74117334429,Thomas da Rosa,0
938663636281,23213522054,Lucas Nunes,0
521738320432,46858249236,Pedro Lucas das Neves,0
246284417850,12182466655,Joana Vieira,0
626476624423,87893335713,Luiz Otávio Costa,0
710809517733,96765278365,Daniela Ferreira,0
846781954781,14556782128,Enzo Gabriel Moreira,0
187228564511,78186678400,Vitória Freitas,0
377037798588,86765325852,Maria Cardoso,0
480797801817,15783663381,Cauã Porto,0
78461938813,79535334023,Raul Santos,0
208471608345,12256875357,Bryan da Paz,0
125141543464,19782720685,Sophia Correia,0
127543531356,68628975483,Luiz Otávio Carvalho,0
239754270571,6148778287,Maysa Melo,0
365159312189,13850624516,Lucas Moura,0
797742058637,35011206087,Pedro Henrique Viana,0
792722182819,68576287352,Natália da Costa,0
428769046160,70532938686,Emanuella da Cruz,0
521744833154,72238741637,Ana Martins,0
294817656254,82438627852,Gustavo da Paz,0
357746743496,24313910357,Ana Nascimento,0
639833166148,50825318133,Ana Beatriz da Paz,0
350882841662,28823572702,Luiz Henrique Ramos,0
485568284340,61487762376,Daniel Ferreira,0
837874914443,24711343181,Bianca Monteiro,0
493321658815,37389034132,Catarina Porto,0
4651575825,73695274934,Maria Fernanda Correia,0
986196268797,28730597216,Theo Lima,0
889234520669,4761173442,Sophie Pires,0
26259576032,56587757253,Alana Ferreira,0
622435759895,64586974102,João Pedro Nascimento,0
281906683546,35735481230,Cauã Mendes,0
822081884028,63834482221,Benício Viana,0
567221742077,17979012754,Maysa Rocha,0
573115248731,33549382510,Stephany Gomes,0
449396904371,10298311213,João Miguel Campos,0
72206178707,13337516071,Letícia Fernandes,0
926326472704,86465866644,Bárbara Nunes,0
283773184470,56024715479,Olivia Lima,0
238323493318,95882842822,Pietra Lima,0
818333093257,70683551381,Vitor Hugo Rocha,0
837547875358,89439138143,Davi Lucca Pires,0
176655556378,72392491263,Juliana Gomes,0
633292326874,24651022764,Ana Carolina Alves,0
257427481362,79745956119,Maria Eduarda Martins,0
559439599305,8386715887,Enrico Moraes,0
428393684752,42712293177,Marcos Vinicius Aragão,0
268629732367,41766411051,Vitor Fernandes,0
721749387544,54250761526,Natália Correia,0
916268184507,74754162876,Marcos Vinicius Carvalho,0
564357814246,24505324326,Theo Cardoso,0
22355444242,93713272518,Ana Luiza Carvalho,0
655386462176,27313146732,Maria Eduarda da Conceição,0
466128855513,86063767221,Vitor Gabriel da Luz,0
650312056193,43407907247,Gustavo Oliveira,0
167813269476,54005254753,Mirella Pires,0
432713167177,1168250922,Bryan Cardoso,0
114144618702,2268805246,Daniel Rezende,0
677746637052,70655417006,Sophie Cardoso,0
461354362697,87373886438,Daniel Fernandes,0
546241312562,55108082281,Luiz Felipe da Luz,0
649931448734,76733759255,Augusto Campos,0
196927757123,20286240837,Heitor Almeida,0
78516452643,15751677556,Lívia Fogaça,0
24471835535,54194343735,Gustavo Henrique Moraes,0
217612067276,16711382017,João Gabriel Barbosa,0
718722296293,2407608691,Clara Cavalcanti,0
417715626139,84826335674,Natália Caldeira,0
575546258425,27259362939,Valentina Teixeira,0
465851977936,16316970568,Enrico Viana,0
558248937645,40962839264,Yuri Monteiro,0
75142572848,55313516530,Marcela Araújo,0
46636968687,2489018378,Ana Luiza Nascimento,0
715136781324,79284061165,Raquel Martins,0
158798416391,31243841134,Felipe Santos,0
778122310875,83618069722,Gabrielly Rezende,0
454761022771,83251811285,Gustavo Barbosa,0
365111113751,55774897368,Pietro Nunes,0
276446656641,88310537933,Isabelly Cardoso,0
244653642177,58642242429,Sophia Cardoso,0
484583153431,54879155676,Eloah Moraes,0
363120431384,98424354119,Nathan Pinto,0
747811077742,48374582363,Lorenzo Gomes,0
372324573334,37442480256,Francisco da Mata,0
637682663626,85554134386,Luiz Miguel Martins,0
483843088640,41332803328,Luigi Ribeiro,0
924216247413,13105791693,Letícia Costa,0
977350677648,51784721866,Maysa Cardoso,0
274843515834,21022197546,Laís Fogaça,0
264581834552,23916127326,Júlia Vieira,0
756584511422,67661203271,Emanuel Moura,0
876239826422,60961272211,Joana Viana,0
966537174877,11371268532,Olivia da Cunha,0
687163246424,58146416682,Nathan Ribeiro,0
277685351352,64016354523,Laís Ramos,0
515110297571,13601563650,Laura da Rosa,0
570121272462,83607134176,Enzo Sales,0
537748669023,10901499936,Yasmin Gonçalves,0
412108438183,76483642787,Luiz Otávio Vieira,0
119941346164,85641802570,Juan Fernandes,0
398774529846,81338030787,Bruno Cardoso,0
74075743793,31552406603,Davi Vieira,0
236372326668,66363553268,Pietra Caldeira,0
382230653867,37787423203,Maysa Monteiro,0
871606514986,46924887477,Amanda Fogaça,0
352263441108,74903382288,Augusto Carvalho,0
808275388853,43386048586,Luna da Mata,0
48814626084,24982736445,Maria Costela,0
556116676332,86916063962,Nina Costa,0
617534838846,6666428268,Milena Santos,0
424632827376,87339975436,Benjamin Nogueira,0
610581726415,37237675714,Enzo Gabriel Araújo,0
956857455573,58626052232,Renan da Rocha,0
178451086278,23061817418,Vinicius Carvalho,0
446086222838,41438745922,Marcelo Santos,0
646562032682,35858160593,Lucca Barros,0
371574856990,14485541160,Arthur Fogaça,0
424781117266,5188387727,Nathan Melo,0
45759138253,16076167083,Alice Lima,0
23071642676,79443347108,Lorena Moura,0
688451892129,23913889632,Davi Luiz da Luz,0
652586308236,8162489741,João Gabriel Gomes,0
348573725270,11152314826,Bruno Sales,0
584445141067,59810386263,Ana Silva,0
447264923157,44190596185,Sabrina Peixoto,0
614623614778,32868046982,Clara Rodrigues,0
858551365406,27696725614,Brenda Cavalcanti,0
470859686597,84526147932,Carolina Teixeira,0
613387184965,39354185262,Sabrina Araújo,0
127277056550,17843416788,Fernanda Vieira,0
146102294858,2684455212,Valentina Moreira,0
468600516944,56803314368,Luiz Gustavo Barros,0
972942665766,15272156351,Alexandre Melo,0
507336936365,91683777254,Raul Duarte,0
25008336655,41207525188,Noah da Mata,0
416499191186,28937924573,Lavínia Rocha,0
241865216587,61307024730,João Miguel Moura,0
338552123245,25351861827,Joana Silveira,0
327567458631,42015542560,Lucas Gabriel Fogaça,0
213754821734,5243020711,Maria Alice Nascimento,0
347643844522,16955761726,Bernardo Cardoso,0
122144136173,36335258687,Alexia Lopes,0
885581464073,83251558233,Luana Nunes,0
636995623341,63773465650,Vitor Gabriel Carvalho,0
163539235126,31646480878,Eduardo Rodrigues,0
354725682488,77338784998,Marina da Paz,0
346855210582,55835478427,Davi Luiz Rezende,0
854056685430,47612362451,Vitor Gabriel Fogaça,0
335567595866,21272546628,Bryan Alves,0
420622717339,72724818118,Olivia Mendes,0
231397162977,81116666173,Igor Barros,0
501862495645,28467965843,Bryan Porto,0
273279462186,16124584164,Rodrigo da Mata,0
322473290683,66093876354,Lavínia Cavalcanti,0
727222241270,7344409425,Diego Cardoso,0
525977706955,49145434005,Maria Clara Lima,0
